,PID,Label,Description,Relevant
1864,P2372,ODIS ID,identifier in the Belgian ODIS database,no
1865,P2373,Genius artist ID,identifier for an artist or label on Genius,yes
1866,P2374,natural abundance,"relative proportion of an isotope as found in nature (Earth's crust, or other location with qualifiers)",no
1867,P2375,has superpartner,"partner particle, in supersymmetry; inverse of ""superpartner of""",no
1868,P2376,superpartner of,"partner particle, in supersymmetry; inverse of ""has superpartner""",no
1869,P2377,MediaWiki hooks used,MediaWiki hooks used by this extension,no
1870,P2378,issued by,"organisation or other agent that issues or allocates an identifier, code, classification number, etc.",no
1871,P2379,deprecated in version,software version it was deprecated in,no
1872,P2380,French Sculpture Census artist ID,identifier in the French Sculpture Census,yes
1873,P2381,Academic Tree ID,identifier on academictree.org,no
1874,P2382,Chemins de mémoire ID,,no
1875,P2383,CTHS person ID,identifier for a person in the directory of French learned societies,yes
1876,P2384,statement describes,formalization of the statement contains a bound variable in this class,no
1877,P2385,French diocesan architects ID,identifier for a person in the French diocesan architects index,no
1878,P2386,diameter,diameter of a circular or spherical object,no
1879,P2387,Elonet person ID,identifier for a person in the Elonet database,yes
1880,P2388,position held by head of the organization,position of the head of this item,yes
1881,P2389,organization directed by the office or position,organization which is directed by this office,no
1882,P2390,Ballotpedia ID,title of corresponding article on the Ballotpedia encyclopedia of American politics,yes
1883,P2391,OKPO ID,"identifier for a company, in the Russian National Classifier of Enterprises and Organizations (OKPO) database",no
1884,P2392,teaching method,teaching method adopted by an educational institution,no
1885,P2393,NCBI locus tag,unique gene identifier that can be used for any species of organism,no
1886,P2394,MGI Gene Symbol,official gene symbol for a mouse gene,no
1887,P2396,image of function,set of values that a mathematical function actually takes,no
1888,P2397,YouTube channel ID,ID of the YouTube channel of a person or organisation (not to be confused with the name of the channel) The ID can also be used for music.youtube.com IDs,yes
1889,P2398,MLS player ID,"identifier for soccer player profile on MLSSoccer.com, website of Major League Soccer",yes
1890,P2399,British Council artist ID,"identifier for an artist, in the catalogue of the British Council",yes
1891,P2400,JMDb film ID,film IDs on Japanese Movie Database,yes
1892,P2401,Six Degrees of Francis Bacon ID,identifier in the Six Degrees of Francis Bacon database,no
1893,P2402,total expenditure,"amount of spending by this public or private entity, not to be confused with fiscal expenditure",no
1894,P2403,total assets,value of assets held by a private or public entity,no
1895,P2404,time-weighted average exposure limit,recommended or required concentration limit for chemical exposure in a workplace in a given work day,no
1896,P2405,ceiling exposure limit,recommended or required maximum concentration for chemical exposure in a given work day,no
1897,P2406,maximum peak exposure limit,recommended or required maximum concentration for chemical exposure during a five-minute excursion within a certain period of hours,no
1898,P2407,short-term exposure limit,recommended or required concentration limit for chemical exposure during a brief time window,no
1899,P2408,set in period,"historical, contemporary, or future period, year, century or day the work or genre is set in or event featured in the story of the work",yes
1900,P2409,NII article ID,"identifier for an article in scholarly literature databases operated by National Institute of Informatics (NII), Japan",no
1901,P2410,WikiPathways ID,describes in which biological pathways a biological entity occurs,no
1902,P2411,Artsy gene,"generalization of artwork type, technique, material, genre, movement, etc. from artsy.net",yes
1903,P2412,FMD designer ID,external link to a designer's profile at the FMD (Fashion Model Directory) website,yes
1904,P2413,FMD magazine ID,external link to a magazine profile at the FMD (Fashion Model Directory) website,yes
1905,P2414,substrate of,substrate that an enzyme acts upon to create a product,no
1906,P2415,personal best,an individual's best performance in a given discipline,yes
1907,P2416,sports discipline competed in,discipline an athlete competed in within a sport,yes
1908,P2417,stage classification,stage results and ranking of a stage race,yes
1909,P2418,Structurae person ID,identifier for a person in the Structurae database,yes
1910,P2421,Prosopographia Attica,identifier for a person in Prosopographia Attica (Q2113277) by Johannes Kirchner (Q1697841),no
1911,P2423,International Fencing Federation fencer ID,Identifier in the database of all fencers holding an international licence at the International Fencing Federation (FIE: Fédération Internationale d'Escrime),yes
1912,P2424,Berlin cultural heritage ID,identifier for an object in the cultural heritage database of Berlin,no
1913,P2425,service ribbon image,"an image depicting the ribbon associated with a medal, order, etc.",no
1914,P2426,Xeno-anto species ID,taxon identifier on the xeno-canto.org platform,no
1915,P2427,GRID ID,institutional identifier from the GRID.ac global research identifier database,no
1916,P2428,RePEc Short-ID,identifier for a researcher in the RePEc (Research Papers in Economics) and IDEAS database,no
1917,P2429,expected completeness,describes whether a property is intended to represent a complete set of real-world items having that property,no
1918,P2430,takeoff roll,distance required for an aircraft to take off (usually measured to the point where the aircraft reaches 50 feet),no
1919,P2431,Thyssen-Bornemisza artist ID,identifier assigned to an artist by the Thyssen-Bornemisza Museum,yes
1920,P2432,J. Paul Getty Museum agent DOR ID (old),identifier assigned to an agent by the J. Paul Getty Museum in their legacy internal Digital Object Repository. Replaced by P12040,no
1921,P2433,gender of a scientific name of a genus,"determines the correct form of some names of species and subdivisions of species, also subdivisions of a genus",no
1922,P2434,Panarctic Flora ID,identifier for a taxon in the Panarctic Flora,no
1923,P2435,PORT person ID,PORT-network film database: identifier for a person,yes
1924,P2436,voltage,difference in electric potential between two points  (indicated in volt),no
1925,P2437,number of seasons,number of seasons a television or radio series has had,yes
1926,P2438,narrator,"narrator, character or person that tells the story",yes
1927,P2440,transliteration or transcription,conversion of text to alternate script  (use as a qualifier for monolingual text statements; please use specific property if possible),no
1928,P2441,literal translation,"direct or word-for-word translation of a name or phrase  (qualifier for name, title, inscription, and quotation properties)",no
1929,P2442,conversion to standard unit,translation of the value of a measurement to different units,no
1930,P2443,stage reached,ultimate point in an event or competition reached by a participant,yes
1931,P2444,homoglyph,"another letter, number, or character which appears similar to this one",no
1932,P2445,metasubclass of,relation between two metaclasses: instances of this metaclass are likely to be subclasses of classes that are instances of the target metaclass,no
1933,P2446,Transfermarkt player ID,identifier for an association football  (soccer) player in the transfermarkt. com database,yes
1934,P2447,Transfermarkt manager ID,identifier for an association football (soccer) manager or coach in the transfermarkt.com database,yes
1935,P2448,Turkish Football Federation player ID,"""identifier for a player in the Turkish Football Federation's database""",yes
1936,P2449,Turkish Football Federation coach  ID,"""identifier for a coach or manager in the Turkish Football Federation's database""",yes
1937,P2450,Encyclopædia Britannica contributor ID,"""identifier for a contributor to the 'Encyclopædia Britannica'""",yes
1938,P2451,MAME ROM name,'name of Multiple Arcade Machine Emulator ROM for a software release',no
1939,P2452,GeoNames feature code,'identifier for feature classes in GeoNames & NGA GNS',no
1940,P2453,nominee,'qualifier used with “nominated for” to specify which person or organization was nominated',yes
